id,age
588238879438409736,0
601460242772922632,0
601137941405765640,0
20160429090002533592,0
613466575764197640,23
597638829897158664,0
575970668156293384,25
581383288308896008,21
604889764620931080,0
586025640663191816,44
569833170887774216,0
565617289961934856,0
579717684388696328,0
587575870923739144,30
614620128918638600,0
581023167137452040,0
573196905371144200,0
571482623969333512,0
580526529214156808,0
608567389499429128,0
598195495885607176,0
579587085699125512,0
599746751678648584,0
599335464989626632,0
20160707140004712417,23
567122649029840904,0
589885269142933768,0
576775442015457288,24
606418530874691592,0
606474909509488904,0
575480037633953800,0
20160422170002375833,27
544011453498134792,0
611191697111519240,0
606402308531556616,0
594133606532649224,0
20160809150005871119,0
516989759038427144,0
590515847575900168,0
502016235349741832,0
613178409958248712,0
604690117721853960,0
20160627110004371499,0
20160624190004295823,21
584736078091522312,0
575189557629194504,23
465203085950586888,0
493482418204840200,38
515018906004361480,30
576646569214873864,24
583278914193854728,0
588877342256926984,0
606554558721691656,0
20160429110002535967,30
513436038455103496,0
579421829886644488,0
613779736694362376,27
563397423968293128,0
575936133414785288,29
519029135339688200,36
591248122923979016,0
575789195855925512,24
445466710321926152,0
579329961081442312,30
545184360639238152,0
599233182734225416,21
531147368477757704,0
20160726160005329761,32
575358052123808008,0
600527711236002056,0
515863655724617992,0
595478187014623240,28
612095567341818120,0
20160620110004145367,0
575831829093814536,35
589312011528048904,0
20160604120003652837,35
20160506100002790376,27
456931152129691912,24
605132780623368200,0
577934050849722632,39
585736221624373512,0
587690146422329608,0
536764095131554056,0
593849405174452488,0
584393786671501320,0
600461773807554824,0
607709737890353416,0
564953697331712008,0
574991993722114056,0
581265101034623240,0
575278073004429576,25
608742507085303816,0
612062438623285256,0
615906468201238792,22
575495375910080776,25
576484797803663624,38
588478401585615112,0
596338218765390088,0
613942383054164232,0
584779363921170440,4
575140013604343816,0
579561424880144648,0
576144018572840968,0
575960399812235528,0
532481659845480456,0
576735413138362632,25
613736227031486728,0
609897913383915528,22
589034761180156168,0
463535210361786376,0
605757321246674952,0
578087237300785160,0
599103746177241352,29
534504781633294600,0
614447407899349000,0
20160722120005192722,24
20160801080005529095,0
548470024143114504,37
538595127845720072,0
563323450832195592,0
603592221723201544,0
582474322946298120,0
550638069158514952,0
502559718305173768,39
596176993016353032,40
571382917259858184,0
603332009619623944,29
526618335555621128,0
613443698117579016,0
604281071797800968,0
599181940226003208,0
581732747945447688,0
531590640148943112,0
600711138853785864,0
612198194696163336,22
556365031172739336,0
570353383517458696,0
575100956228718600,0
598192455879233544,0
20160627040004364271,0
508382962413211656,0
576551149545459720,0
576849143327101192,27
20160730050005456306,0
575383918925058056,0
596421465792844040,0
558032702381494280,32
577720941761532168,0
578735216298823688,28
578933141738098696,0
442776737005178888,0
575872320460034312,0
20160811180005945410,32
578725398708228104,0
452872007579603208,32
615333782504870152,0
575059669228196104,0
505675047189352712,0
613668148570230792,25
594549652548751624,0
588813070587924744,0
576574505535672584,0
579740148351111432,21
538807641460183304,0
498245795993096200,0
20160504230002751981,0
594718722812285192,0
563051249000255752,0
20160410160002082486,0
575993642850717960,0
615073208877453320,0
20160811210005948200,0
597895817361100808,0
559866159277543688,27
20160510140002907680,0
614543493833953288,0
585925100008640776,0
523158020352381192,37
496780266774204424,37
599274207783686152,29
610201934372016136,30
20160726050005306819,0
525256441003512072,0
504921786782060552,0
20160617170004072986,0
597081517910396936,0
597790454230028296,0
581615905482477832,0
584690561563234312,0
585435848858669064,0
594590686213312776,0
580540088736288776,0
570928657225224456,34
571530564746612744,0
469495474622042376,0
576843966415114504,0
594086380624154632,0
598624571364479240,0
590485188136407304,0
577196603849314568,40
470253710782501128,23
