ID,PROB
652045542423007240,0.0742
646977449405452552,0.0054
651321866186657800,0.0553
650449498627117064,0.1096
641000899610677512,0.0761
649778905921622280,0.0140
642568774259577096,0.0092
652934919781093640,0.0379
649180127745282056,0.0332
644835860423905288,0.0081
644829307092341000,0.0083
639812184095854600,0.0795
645442917728522248,0.0104
640300588373905416,0.0041
652847022402965512,0.0027
651964193829818632,0.1680
646252469109657864,0.0029
649850338483900424,0.0964
647783637885915400,0.0045
650632474300256520,0.0474
641985374331080968,0.0108
647596205118853384,0.0713
652769287898927112,0.0012
643462811069976840,0.0709
651310747170639880,0.0079
652865584001716232,0.0247
639761122244694024,0.0471
647621603793834248,0.2410
652245341483045128,0.0110
641751029800505352,0.2643
648407055215890696,0.0147
649778686500802824,0.0043
646166688126996488,0.0099
652854070050033928,0.0066
652670615227994120,0.1205
642586215551340808,0.0091
639247654626267144,0.0094
650127315161845768,0.1706
648224148069289992,0.0038
647927782935892232,0.0407
646157793258115080,0.0076
641921870311985160,0.0079
645485814553252104,0.0032
647707304195526920,0.3737
642526940346978568,0.1275
639736798502719496,0.0050
646855797954842632,0.0082
648446001417294088,0.0062
649177369126375432,0.0072
648604435135598856,0.3481
650065282244546824,0.0392
651412971477537032,0.1614
651421033022099720,0.0931
639669110732493064,0.1163
650410777240408328,0.1250
651336789805502728,0.2892
646050376511918344,0.2444
639650828902207752,0.0028
646908651973382152,0.0473
640993640360972552,0.0320
644070737744761096,0.2376
644891353464967432,0.0184
652665940164481032,0.0242
641289024538939656,0.0036
647820759607021576,0.0023
646301799703121928,0.0325
652846425176018952,0.0122
645548620682105096,0.0811
650833747255496712,0.0889
652602551446802696,0.0079
639858249725645064,0.0001
651287241972256776,0.0188
644237097170898952,0.0075
647157071808041224,0.0075
649351254576730376,0.0096
641996540172308488,0.0075
649952587805626632,0.2043
650522323480219912,0.2920
639688245575160072,0.0829
639502671169982728,0.0067
649098039637577992,0.0950
640697481344061704,0.1492
646269755816153096,0.0177
649013301576995080,0.0082
648521416840318984,0.0482
642858428724678920,0.1302
641229342193487880,0.1106
647854402228457480,0.0072
651343669319700744,0.0713
644450136960798984,0.0160
648599658116943880,0.0133
652065227575136520,0.0043
639811149252005896,0.2992
649454306486915080,0.0127
647095193652171016,0.0919
652039791411466248,0.0120
649912203217997832,0.0721
643823869785804808,0.0788
645426528586305544,0.0094
644056450250838024,0.0229
652085033867153416,0.0474
651807347269701640,0.0915
642480833621397512,0.0169
647877404143915272,0.0245
642684195876901128,0.0204
642078380295983368,0.0522
645441430092779784,0.0380
649092118756725000,0.0295
639792165345562888,0.0919
644274635671605256,0.0107
645806078755344648,0.0755
647819061132005384,0.0800
644194458312642568,0.0220
651810289364242696,0.0083
