ID,PROB
628038994612982024,0.0105
619935467768385544,0.0051
628057887435919624,0.0042
634550889473904648,0.0241
638397050219663368,0.0022
624100239271268360,0.0076
631818406567350280,0.0197
632049738530689288,0.0348
632688839579668488,0.0024
629428061225357576,0.0042
635259677667496200,0.002
635390909587918856,0.0068
625163396265808136,0.0238
617778934590738696,0.0093
633196833463603464,0.0052
626776907735633928,0.0248
627596967249187080,0.0489
626656855497642248,0.0052
624225636797387016,0.0053
631649151595057160,0.0006
635372540298006792,0.05
630509627657687048,0.0089
618676359517966344,0.0019
631627618608746504,0.0494
634769041264742664,0.0042
635390575847149832,0.0032
633865236356534536,0.0192
634710605088952328,0.0324
630172505868341512,0.0099
618734700625662216,0.0335
637422459871563784,0.0064
631587391173300232,0.0198
634753044927483912,0.0224
632457835426353416,0.0148
637505862801297672,0.031
635508253572206856,0.0121
621077985641894152,0.003
632685872126365960,0.0117
628772979467096072,0.033
631850906048008456,0.0048
632394085226778888,0.0041
638147570694099208,0.0027
633257093834477576,0.0325
618609136996716808,0.1244
635792759940190216,0.0392
626326906068799752,0.0384
631296791882502152,0.0037
635324215205040136,0.0034
617454746558533640,0.0347
618794305762365448,0.0019
623795949923209480,0.0095
626205250071564552,0.0076
635369516934631432,0.027
625856409497506056,0.02
628370762482323720,0.0311
630339512551084296,0.006
628990255462093064,0.0473
629649309586952200,0.0026
633974655505404168,0.0018
622954417578053896,0.0051
626569489940484360,0.0048
634849567153590536,0.0256
634795124794069256,0.0052
626467154476142600,0.0033
637543104932483336,0.0046
622973576588300552,0.0081
633879191191818248,0.0046
627975502396657672,0.0023
631050445963399432,0.0042
636796605348974600,0.0506
629491556620963848,0.1269
633754285330403336,0.0073
620803957794541576,0.0009
635547029442924552,0.0297
638188403644436488,0.0034
619261602851459080,0.0095
623623610459754504,0.0378
631142418737008904,0.0052
629548174029099272,0.0089
633079089636315144,0.0399
637310588002767112,0.0393
635428421396074760,0.0132
636870827962273800,0.0042
623257551336640520,0.0462
619432935254135048,0.0293
617118890232647688,0.0343
629608891394560264,0.0274
633095888578809864,0.0041
626699165455356168,0.0418
632237271122186248,0.0019
630207707227361288,0.002
620045276802978056,0.0025
638296119880716552,0.0009
636368411672186888,0.0043
631720660183289864,0.003
636969867458646280,0.0114
630254814126674184,0.0014
635534673274998792,0.0048
623942999025389832,0.0152
622598951454904328,0.004
622149178268586248,0.0045
622803325217148936,0.0902
633209258292285448,0.108
630185915091783688,0.0227
638495306161328392,0.0507
635572539141132296,0.0561
628865294269419784,0.0013
638010287064092680,0.0012
628619617064980488,0.0036
625857044221530376,0.005
636842624539430920,0.0054
631757322711994376,0.002
636387961314742280,0.0013
623683944675545096,0.0954
636928804316516616,0.0218
634647660447404040,0.0176
635337741860606216,0.0072
633852170906636552,0.013
618129734953341192,0.0319
635285290763685896,0.0032
619420073521582344,0.0143
636234450736254984,0.0103
636963197835809032,0.0525
617544434459873288,0.002
635450726553751816,0.0317
631689158628216840,0.0048
625808995340259336,0.0314
635312185135862024,0.0047
637386312529219592,0.0031
621041287570657288,0.0026
623028959310778376,0.0294
618478292185387016,0.0048
635428961530155272,0.0196
619969792626921736,0.0017
630980344404774920,0.0065
626457195042574344,0.0111
631628077398495496,0.0081
636099981173854216,0.0393
626668319159619848,0.0045
635339662952501256,0.0131
623647126504607752,0.0297
620752425434747144,0.0017
634648720540962824,0.1166
626127039329472520,0.0428
620001812035932168,0.0025
636086489934991624,0.0006
636989915803947016,0.0046
635826317970903048,0.0031
623330618133975048,0.0011
633157338638848264,0.0463
622913732451766536,0.0024
626044136906035464,0.0069
637006534080991240,0.0682
636204562427940872,0.0204
632340355815051272,0.0023
628791828258230280,0.0101
635050959176732680,0.0296
624721673735639048,0.0046
633798681643979016,0.0019
636949285220388872,0.0142
638112737276203272,0.0164
630962890999861256,0.0123
619341072463565064,0.0553
631017126487920648,0.0566
635524813875580936,0.009
632573705179893768,0.0026
634834588866187272,0.0302
633931732206227720,0.1472
636079964420050952,0.012
635992002072154376,0.0022
622695229111144456,0.0023
636379305084981512,0.0574
637726905616830728,0.0042
623116651058958344,0.2048
634776365224169736,0.0279
623794019217969416,0.0027
636750141822341128,0.0115
635991512395550984,0.0039
635325404315390216,0.0128
638215194316640520,0.0332
635341281878348040,0.0023
625969237516619784,0.0022
623719103202332680,0.0063
638499202921402632,0.0313
631358573519048712,0.028
635453776517402888,0.0417
630176476993425672,0.0026
635621150436626440,0.1287
635231169083871496,0.0147
631853132191633416,0.003
631828636055375880,0.0233
634592466082730248,0.0277
637523552496521480,0.0025
635213442898202888,0.0131
625111151998406920,0.0028
630892410561368328,0.0504
624642600342655240,0.0236
632394836443402248,0.0034
620989702496850184,0.0611
623584666674270216,0.0033
636888605226176520,0.0017
620237677496635656,0.0288
631714684784873480,0.0022
630752561275605000,0.0608
636112006285365256,0.0391
637139449083334664,0.0227
628891246919684360,0.0052
630794156146430216,0.0164
619355053957845000,0.1399
617094607343194376,0.0273
631129398401044488,0.0037
636971293681389576,0.0244
618242662260019208,0.1299
627470728807059464,0.0049
635566803078090760,0.0219
635899090680418312,0.0299
634541783572811784,0.0261
638283658628698120,0.0015
638074572725293320,0.0033
625481705737687048,0.0207
634694869209583880,0.0504
627306312140591368,0.0223
629411407632273672,0.0022
631192376857071880,0.0038
635503417220927496,0.0105
630571277869912072,0.0178
621708997304520968,0.1465
638453335631859976,0.0028
631726412637671432,0.0028
638006359895314440,0.0024
634620178100916488,0.004
637523409336537352,0.005
623178574572032008,0.0104
625199008431739144,0.0132
630239500873765128,0.003
623314264517513480,0.0388
626549695728062472,0.0072
638082179322089736,0.0022
635970465688457224,0.0084
